Country,Region,Count
China,Asia-Pacific,37190
India,Asia-Pacific,6007
Russia,Europe,3143
United Kingdom,Europe,2065
Brazil,Latin America-Caribbean,486
Mexico,Latin America-Caribbean,151
Saudi Arabia,Middle East-North Africa,2353
Egypt,Middle East-North Africa,1223
United States,North America,7305
Canada,North America,944
Ethiopia,Sub-Saharan Africa,515
South Africa,Sub-Saharan Africa,269
